longitude,latitude,date,name
94.51346,26.653847,2023-08-27,Noklangsangba Landslide
93.797729,25.798326,2023-07-04,Pakala Pahar Landslide
95.080945,26.106224,2023-07-09,Choklangan Landslide
95.020282,26.197297,2023-07-09,Wonthai Landslide
95.015413,26.199008,2023-07-09,Ehoukeh King Landslide
93.204533,23.491709,2023-01-26,Hermon Veng Landslide
92.714248,23.745055,2023-06-16,Hunthar Landslide
92.71425,23.74506,2023-07-04,Hunthar Landslide
92.708782,23.742421,2023-07-27,Vaivakawn Landslide
92.889308,22.518533,2023-08-08,Lawngtlai Landslide
92.760969,22.880829,2023-08-08,Lunglei Landslide
92.713846,23.745833,2023-08-09,Hunthar Landslide
92.91265,23.233976,2023-09-11,Keitum Landslide
91.876558,25.371447,2023-04-14,Rngain Landslide
90.202987,25.515019,2023-05-06,Tura Civil Hospital Landslide
92.36018,25.105844,2023-05-27,Sonapur Tunnel Landslide
92.360242,25.105931,2023-04-05,Sonapur Tunnel Landslide
92.360245,25.105937,2023-06-10,Sonapur Tunnel Landslide
92.360255,25.10594,2023-06-14,Sonapur Tunnel Landslide
91.902608,25.309601,2023-06-11,Pynursla Landslide
92.360259,25.105945,2023-06-15,Sonapur Tunnel Landslide
91.876551,25.371452,2023-06-14,Rngain Landslide
91.366042,25.275153,2023-06-17,Dommawlein Landslide
91.57097,25.446165,2023-06-17,Laitlarem Landslide
92.020892,25.205927,2023-06-17,Darrang Landslide
92.3603,25.10595,2023-06-19,Sonapur Tunnel Landslide
90.181776,25.521879,2023-06-22,PA Sangma Stadium Landslide
91.948666,25.687251,2023-06-22,Umiam View Point Landslide
92.361278,25.105701,2023-06-23,Sonapur Tunnel Landslide
92.36114,25.106073,2023-07-03,Sonapur Tunnel Landslide
92.360407,25.106083,2023-08-04,Sonapur Tunnel Landslide
92.36123,25.106699,2023-08-10,Sonapur Tunnel Landslide
92.360287,25.105957,2023-08-26,Sonapur Tunnel Landslide
91.615265,25.88385,2023-09-26,Patharkhmah Landslide
92.180176,25.390614,2023-10-08,Pynthorlangtein Landslide
93.550414,24.820487,2023-08-16,Awangkhul Landslide
93.477731,24.826582,2023-08-16,Khongsang Landslide
93.55041,24.820481,2023-08-20,Awangkhul Landslide
94.25992713,27.55468158,2023-04-03,Subansiri Lower Hydroelectric Project
91.719487,26.123803,2023-06-17,Dhirenpara Landslide
